rank,Youtuber, subscribers , video views ,Country,Abbreviation,channel_type,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
1,T-Series,"245,000,000","228,000,000,000",India,IN,Music,"$564,600 ","$9,000,000 ","$6,800,000 ","$108,400,000 "
2,YouTube Movies,"170,000,000","28,268,841,870",United States,US,Games,$0 ,$0 ,$0 ,$1 
3,MrBeast,"166,000,000","28,368,841,870",United States,US,Entertainment,"$337,000 ","$5,400,000 ","$4,000,000 ","$64,700,000 "
4,Cocomelon - Nursery Rhymes,"162,000,000","164,000,000,000",United States,US,Education,"$493,800 ","$7,900,000 ","$5,900,000 ","$94,800,000 "
5,SET India,"159,000,000","148,000,000,000",India,IN,Entertainment,"$455,900 ","$7,300,000 ","$5,500,000 ","$87,500,000 "
6,Music,"119,000,000","28,668,841,870",unknown,unknown,Music,$0 ,$0 ,$0 ,$0 
7,ýýý Kids Diana Show,"112,000,000","93,247,040,539",United States,US,Entertainment,"$182,900 ","$2,900,000 ","$2,200,000 ","$35,100,000 "
8,PewDiePie,"111,000,000","29,058,044,447",Japan,JP,Entertainment,"$9,800 ","$156,700 ","$117,600 ","$1,900,000 "
9,Like Nastya,"106,000,000","90,479,060,027",Russia,RU,People,"$12,200 ","$195,800 ","$146,800 ","$2,300,000 "
10,Vlad and Niki,"98,900,000","77,180,169,894",United States,US,Entertainment,"$145,100 ","$2,300,000 ","$1,700,000 ","$27,900,000 "
11,Zee Music Company,"96,700,000","57,856,289,381",India,IN,Music,"$200,900 ","$3,200,000 ","$2,400,000 ","$38,600,000 "
12,WWE,"96,000,000","77,428,473,662",United States,US,Sports,"$178,700 ","$2,900,000 ","$2,100,000 ","$34,300,000 "
13,Gaming,"93,600,000",unknown,unknown,unknown,Games,$0 ,$0 ,$0 ,$0 
14,BLACKPINK,"89,800,000","32,144,597,566",South Korea,KR,Music,"$124,700 ","$2,000,000 ","$1,500,000 ","$23,900,000 "
15,Goldmines,"86,900,000","24,118,230,580",unknown,unknown,Music,$0 ,$0 ,$0 ,$1 
16,Sony SAB,"83,000,000","101,000,000,000",India,IN,Entertainment,"$414,300 ","$6,600,000 ","$5,000,000 ","$79,600,000 "
17,5-Minute Crafts,"80,100,000","26,236,790,209",United Kingdom,GB,Entertainment,$0 ,$0 ,$0 ,$0 
18,BANGTANTV,"75,600,000","20,826,993,957",South Korea,KR,Music,"$42,100 ","$673,200 ","$504,900 ","$8,100,000 "
19,Sports,"75,000,000",unknown,United States,US,Entertainment,$0 ,$0 ,$0 ,$1 
20,Justin Bieber,"71,600,000","30,608,119,724",Canada,CA,Music,"$44,100 ","$705,300 ","$529,000 ","$8,500,000 "
21,HYBE LABELS,"71,300,000","28,634,566,938",South Korea,KR,Music,"$149,500 ","$2,400,000 ","$1,800,000 ","$28,700,000 "
22,Zee TV,"70,500,000","73,139,054,467",India,IN,Entertainment,"$426,800 ","$6,800,000 ","$5,100,000 ","$81,900,000 "
23,Pinkfong Baby Shark - Kids' Songs & Stories,"68,200,000","38,843,229,963",United States,US,Education,"$118,300 ","$1,900,000 ","$1,400,000 ","$22,700,000 "
24,Canal KondZilla,"66,500,000","36,775,585,925",Brazil,BR,Music,$0 ,$0 ,$0 ,$0 
25,ChuChu TV Nursery Rhymes & Kids Songs,"65,900,000","45,757,850,229",India,IN,Education,"$105,100 ","$1,700,000 ","$1,300,000 ","$20,200,000 "
26,Shemaroo Filmi Gaane,"65,600,000","28,648,024,439",India,IN,Music,"$63,700 ","$1,000,000 ","$764,900 ","$12,200,000 "
27,Colors TV,"64,600,000","61,510,906,457",India,IN,Entertainment,"$296,900 ","$4,800,000 ","$3,600,000 ","$57,000,000 "
28,T-Series Bhakti Sagar,"61,000,000","29,533,230,328",India,IN,Music,$0 ,$0 ,$0 ,$0 
29,Dude Perfect,"59,500,000","16,241,549,158",United States,US,Sports,"$35,300 ","$564,800 ","$423,600 ","$6,800,000 "
30,Movieclips,"59,500,000","59,316,472,754",United States,US,Film,"$28,700 ","$458,700 ","$344,000 ","$5,500,000 "
31,Tips Official,"59,300,000","33,431,802,698",India,IN,Music,"$105,700 ","$1,700,000 ","$1,300,000 ","$20,300,000 "
32,El Reino Infantil,"58,400,000","57,271,630,846",Argentina,AR,Music,"$153,000 ","$2,400,000 ","$1,800,000 ","$29,400,000 "
33,Wave Music,"58,000,000","40,602,020,243",India,IN,Music,"$58,000 ","$928,100 ","$696,100 ","$11,100,000 "
34,Aaj Tak,"57,600,000","25,307,753,534",India,IN,News,"$115,300 ","$1,800,000 ","$1,400,000 ","$22,100,000 "
35,Sony Music India,"57,200,000","28,837,144,516",India,IN,Music,"$64,800 ","$1,000,000 ","$777,900 ","$12,400,000 "
36,EminemMusic,"56,900,000","27,073,872,856",United States,US,Music,"$65,000 ","$1,000,000 ","$780,600 ","$12,500,000 "
37,Marshmello,"56,400,000","14,696,003,229",United States,US,Music,"$28,000 ","$448,400 ","$336,300 ","$5,400,000 "
38,YRF,"54,600,000","35,302,243,691",India,IN,Music,"$128,000 ","$2,000,000 ","$1,500,000 ","$24,600,000 "
39,LooLoo Kids - Nursery Rhymes and Children's Songs,"54,000,000","32,312,431,239",unknown,unknown,unknown,$0 ,$1 ,$0 ,$8 
40,Ed Sheeran,"53,500,000","30,367,676,736",United Kingdom,GB,Music,"$50,700 ","$810,900 ","$608,200 ","$9,700,000 "
41,Infobells - Hindi,"53,300,000","30,516,172,739",India,IN,Education,"$204,000 ","$3,300,000 ","$2,400,000 ","$39,200,000 "
42,Taylor Swift,"52,900,000","29,884,657,286",United States,US,Music,"$132,100 ","$2,100,000 ","$1,600,000 ","$25,400,000 "
43,Ariana Grande,"52,700,000","24,004,842,608",United States,US,Music,"$40,100 ","$640,900 ","$480,600 ","$7,700,000 "
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,"52,200,000","9,877,365,274",United States,US,Education,"$66,700 ","$1,100,000 ","$800,200 ","$12,800,000 "
45,JuegaGerman,"48,100,000","14,631,710,289",Chile,CL,Games,"$16,600 ","$265,600 ","$199,200 ","$3,200,000 "
46,Billie Eilish,"47,900,000","13,626,331,061",United States,US,Music,"$36,700 ","$587,400 ","$440,600 ","$7,000,000 "
47,Get Movies,"47,500,000","30,788,679,536",Russia,RU,Film,"$76,600 ","$1,200,000 ","$919,600 ","$14,700,000 "
48,Shemaroo,"47,400,000","22,519,705,183",India,IN,Entertainment,"$58,200 ","$931,000 ","$698,200 ","$11,200,000 "
49,Badabun,"46,800,000","19,398,045,702",unknown,unknown,Music,$0 ,$2 ,$1 ,$21 
50,SonyMusicIndiaVEVO,"46,600,000","27,286,058,807",United States,US,Music,"$78,600 ","$1,300,000 ","$943,500 ","$15,100,000 "
51,A4,"46,300,000","22,936,630,813",Cuba,CU,People,$0 ,$0 ,$0 ,$5 
52,Bad Bunny,"46,100,000","30,686,342,319",unknown,unknown,Sports,$0 ,$0 ,$0 ,$0 
53,Ferunknownfloo,"46,100,000","10,323,391,593",El Salvador,SV,Games,"$8,500 ","$135,400 ","$101,500 ","$1,600,000 "
54,Voot Kids,"45,500,000","21,388,725,229",India,IN,Entertainment,"$58,500 ","$936,000 ","$702,000 ","$11,200,000 "
55,Felipe Neto,"45,200,000","16,602,198,273",Brazil,BR,Entertainment,"$32,600 ","$521,400 ","$391,100 ","$6,300,000 "
56,Vocï¿½ï¿½ï¿½,"44,700,000","7,828,610,828",Brazil,BR,Entertainment,"$12,000 ","$192,100 ","$144,100 ","$2,300,000 "
57,HAR PAL GEO,"44,600,000","41,139,050,371",Pakistan,PK,Entertainment,"$334,300 ","$5,300,000 ","$4,000,000 ","$64,200,000 "
58,BRIGHT SIDE,"44,500,000","10,708,531,817",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
59,Katy Perry,"44,200,000","25,458,952,022",United States,US,Music,"$33,600 ","$537,000 ","$402,700 ","$6,400,000 "
60,whinderssonnunes,"44,200,000","4,274,709,210",Brazil,BR,Comedy,"$6,700 ","$106,700 ","$80,100 ","$1,300,000 "
61,ABS-CBN Entertainment,"44,200,000","50,292,540,392",Philippines,PH,Entertainment,"$44,200 ","$706,500 ","$529,900 ","$8,500,000 "
62,Alan Walker,"43,700,000","12,884,264,778",Thailand,TH,Film,$0 ,$0 ,$0 ,$1 
63,HolaSoyGerman.,"43,600,000","4,831,311,245",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
64,Shakira,"43,500,000","27,568,757,295",Colombia,CO,Howto,"$88,400 ","$1,400,000 ","$1,100,000 ","$17,000,000 "
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,"43,200,000","36,458,726,976",Russia,RU,Education,"$75,900 ","$1,200,000 ","$911,300 ","$14,600,000 "
66,ARY Digital HD,"43,200,000","37,939,780,685",Pakistan,PK,Entertainment,"$287,300 ","$4,600,000 ","$3,400,000 ","$55,200,000 "
67,Speed Records,"42,500,000","26,820,902,622",India,IN,Music,"$39,900 ","$639,000 ","$479,300 ","$7,700,000 "
68,Masha and The Bear,"42,400,000","24,519,022,988",United States,US,Film,"$167,600 ","$2,700,000 ","$2,000,000 ","$32,200,000 "
69,Like Nastya Show,"42,400,000","19,547,696,190",United States,US,Entertainment,"$13,300 ","$212,800 ","$159,600 ","$2,600,000 "
70,Rihanna,"41,900,000","22,477,745,835",Barbados,BB,Music,"$45,700 ","$731,700 ","$548,800 ","$8,800,000 "
71,Ishtar Music,"41,400,000","17,608,931,161",India,IN,Music,"$45,200 ","$723,800 ","$542,800 ","$8,700,000 "
